STORE,CITY,STATE,ZIP,MSA_NAME,MSA_POP,LATITUDE,LONGITUDE,LONGITUDE_CORR,MSA_INCOME,MSA_HIGH,MSA_BACH
4702,MARY ESTHER,FL,32569,FORT WALTON BEACH-CRESTVIEW-DESTIN,181499,30.409902,86.71497,-86.71497,34961,88,24.2
8004,COLONIAL HEIGHTS,VA,23834,RICHMOND,1212977,37.265403,77.40438,-77.40438,37169,82.6,29.2
7104,VIRGINIA BEACH,VA,23452,VIRGINIA BEACH-NEWPORT NEWS,1658754,36.839209,76.09333,-76.09333,33316,84.8,23.9
8109,LITTLETON,CO,80124,DENVER-AURORA,2464866,39.543478,104.89644,-104.89644,42574,86.4,34.2
7302,AUBURN,AL,36830,AUBURN-OPELIKA,130516,32.577135,85.47282,-85.47282,24406,81.4,27.9
5402,BOYNTON BEACH,FL,33426,MIAMI-FORT LAUDERDALE-POMPANO BEACH,5413212,26.529581,80.08226,-80.08226,36293,73.9,22.9
1703,ST. JOSEPH,MO,64506,ST. JOSEPH,123339,39.787394,94.80941,-94.80941,27009,81.5,16.9
6704,SPARTANBURG,SC,29301,SPARTANBURG,275534,34.940921,81.98682,-81.98682,26710,75.4,20.7
9304,OKLAHOMA CITY,OK,73118,OKLAHOMA CITY,1192989,35.515008,97.53106,-97.53106,31630,83.6,24.4
1002,PORT RICHEY,FL,34668,TAMPA-ST. PETERSBURG-CLEARWATER,2723949,28.30073,82.69698,-82.69698,33008,81.5,21.7
3204,SHREVEPORT,LA,71104,SHREVEPORT-BOSSIER CITY,387583,32.484232,93.73671,-93.73671,30527,78.9,19.1
4904,ASHEVILLE,NC,28806,ASHEVILLE,404320,35.575877,82.6062,-82.6062,28432,80.8,24.5
6902,MACON,GA,31206,MACON,229846,32.79904,83.67216,-83.67216,29466,78.9,19.5
609,PHOENIX,AZ,85033,PHOENIX-MESA-SCOTTSDALE,4179427,33.496091,112.21405,-112.21405,32536,85.1,23.9
2602,ALTAMONTE SPRINGS,FL,32701,ORLANDO-KISSIMMEE,2032496,28.666249,81.36796,-81.36796,31112,82.8,24.8
1109,PRESCOTT,AZ,86303,PRESCOTT,212635,34.515939,112.45399,-112.45399,24015,89.6,30.6
8603,LEXINGTON,KY,40502,LEXINGTON-FAYETTE,447173,38.017219,84.4859,-84.4859,33821,85.8,35.6
7702,SAVANNAH,GA,31419,SAVANNAH,329329,31.986249,81.20259,-81.20259,32069,79.9,23.2
3209,SANDY,UT,84070,SALT LAKE CITY,1099973,40.581595,111.88821,-111.88821,33279,87.5,26.5
4307,LUBBOCK,TX,79414,LUBBOCK,267211,33.550335,101.91661,-101.91661,28364,78.4,24.4
603,FAIRVIEW HEIGHTS,IL,62208,ST. LOUIS,2803707,38.596199,90.00227,-90.00227,36174,80.9,19.3
3802,JENSEN BEACH,FL,34957,PORT ST. LUCIE,400121,27.248445,80.23277,-80.23277,32458,80.8,19.7
2909,LOGAN,UT,84341,LOGAN,121090,41.780998,111.80904,-111.80904,22481,88.9,34.5
6002,ALPHARETTA,GA,30022,ATLANTA-SANDY SPRINGS-MARIETTA,5278904,34.026238,84.24506,-84.24506,35009,84,32
2503,KANSAS CITY,MO,64155,KANSAS CITY,1985429,39.276828,94.57344,-94.57344,35859,82.5,25.7
3709,MISSOULA,MT,59801,MISSOULA,105650,46.855423,114.01229,-114.01229,30991,91,32.8
4603,CORALVILLE,IA,52241,IOWA CITY,147038,41.688215,91.58676,-91.58676,33971,93.7,47.6
3207,KILLEEN,TX,76543,KILLEEN-TEMPLE-FORT HOOD,370008,31.113828,97.69246,-97.69246,28907,83.8,18.1
9204,OKLAHOMA CITY,OK,73134,OKLAHOMA CITY,1192989,35.612359,97.57152,-97.57152,31630,83.6,24.4
2203,OVERLAND PARK,KS,66214,KANSAS CITY,1985429,38.961756,94.71498,-94.71498,35859,94.9,47.7
903,ST. PETERS,MO,63376,ST. LOUIS,2803707,38.778579,90.62045,-90.62045,36174,81.5,16.9
4004,RALEIGH,NC,27616,RALEIGH-CARY,1047629,35.865441,78.54929,-78.54929,35186,85.4,38.9
104,CHARLOTTE,NC,28216,CHARLOTTE-GASTONIA-CONCORD,1651568,35.739681,95.40711,-95.40711,36151,80.8,27.1
5804,AUGUSTA,GA,30909,AUGUSTA-RICHMOND COUNTY,528519,33.475936,82.0697,-82.0697,28105,80.1,22.1
9409,COLORADO SPRINGS,CO,80920,COLORADO SPRINGS,609096,38.952366,104.76701,-104.76701,33521,91.3,31.8
5302,PEMBROKE PINES,FL,33026,MIAMI-FORT LAUDERDALE-POMPANO BEACH,5413212,26.0267,80.29443,-80.29443,36293,73.9,22.9
9909,CHEYENNE,WY,82009,CHEYENNE,86353,41.275932,104.88279,-104.88279,36355,89.1,23.4
4109,LAS VEGAS,NV,89109,LAS VEGAS-PARADISE,1836333,36.126038,115.14796,-115.14796,34890,79.4,17.2
1602,NAPLES,FL,34102,NAPLES-MARCO ISLAND,315839,26.142938,81.79852,-81.79852,44458,81.8,27.9
